# timestep	eccentricity	obliquity	LSP 
-559	1.04E-01	3.34E-01	1.04E+00
-560	1.03E-01	3.31E-01	9.40E-01
-561	1.02E-01	3.28E-01	8.42E-01
-562	1.01E-01	3.25E-01	7.46E-01
-563	1.00E-01	3.22E-01	6.46E-01
-564	9.90E-02	3.20E-01	5.49E-01
-565	9.77E-02	3.19E-01	4.51E-01
-566	9.64E-02	3.18E-01	3.50E-01
-567	9.49E-02	3.17E-01	2.50E-01
-568	9.34E-02	3.17E-01	1.48E-01
-569	9.19E-02	3.18E-01	4.57E-02
-570	9.04E-02	3.19E-01	6.22E+00
-571	8.90E-02	3.20E-01	6.12E+00
-572	8.74E-02	3.22E-01	6.02E+00
-573	8.61E-02	3.24E-01	5.91E+00
-574	8.44E-02	3.27E-01	5.80E+00
-575	8.28E-02	3.29E-01	5.70E+00
-576	8.12E-02	3.33E-01	5.59E+00
-577	7.96E-02	3.36E-01	5.48E+00
